taxon_id,lookup_name,scientific_name,authorship,taxon_rank,family,genus,chinese_name
wcvp:521683,Pankycodon purpureus,Pankycodon purpureus,(Wall.) D.Y.Hong & X.T.Ma,species,Campanulaceae,Pankycodon,山南参
wcvp:521684,Ptilagrostis contracta,Ptilagrostis contracta,Z.S.Zhang & W.L.Chen,species,Poaceae,Ptilagrostis,紧序细柄茅
wcvp:521838,Ptilagrostis arcuata,Ptilagrostis arcuata,Z.S.Zhang & W.L.Chen,species,Poaceae,Ptilagrostis,弧芒细柄茅
wcvp:43206,Clethra bodinieri,Clethra bodinieri,H.Lév.,species,Clethraceae,Clethra,单毛桤叶树
wcvp:521936,Phyllanthus sieboldianus,Phyllanthus sieboldianus,T.Kuros.,species,Phyllanthaceae,Phyllanthus,倒卵叶算盘子
wcvp:521952,Pseudocodon rosulatus,Pseudocodon rosulatus,(W.W.Sm.) D.Y.Hong,species,Campanulaceae,Pseudocodon,莲座状辐冠参
wcvp:521954,Pseudocodon hirsutus,Pseudocodon hirsutus,(Hand.-Mazz.) D.Y.Hong,species,Campanulaceae,Pseudocodon,毛叶辐冠参
wcvp:521970,Platanthera formosana,Platanthera formosana,(T.P.Lin & K.Inoue) Efimov,species,Orchidaceae,Platanthera,宝岛舌唇兰
wcvp:521972,Pseudocodon graminifolius,Pseudocodon graminifolius,(H.Lév.) D.Y.Hong,species,Campanulaceae,Pseudocodon,松叶辐冠参
wcvp:521973,Pseudocodon grey-wilsonii,Pseudocodon grey-wilsonii,(J.M.H.Shaw) D.Y.Hong,species,Campanulaceae,Pseudocodon,喜马拉雅辐冠参
wcvp:521018,Himalacodon dicentrifolius,Himalacodon dicentrifolius,(C.B.Clarke) D.Y.Hong & Qiang Wang,species,Campanulaceae,Himalacodon,须弥参
wcvp:521019,Isodon villosus,Isodon villosus,Y.P.Chen & H.Peng,species,Lamiaceae,Isodon,柔毛香茶菜
wcvp:521126,Hemipilia galeata,Hemipilia galeata,"Ying Tang, X.X.Zhu & H.Peng",species,Orchidaceae,Hemipilia,盔花舌喙兰
wcvp:522549,Zingiber ventricosum,Zingiber ventricosum,"L.Bai, Škorničk., N.H.Xia & Y.S.Ye",species,Zingiberaceae,Zingiber,胀苞姜
wcvp:43389,Clethra sleumeriana,Clethra sleumeriana,K.S.Hao,species,Clethraceae,Clethra,湖南桤叶树
wcvp:523095,Pseudocodon convolvulaceus,Pseudocodon convolvulaceus,(Kurz) D.Y.Hong & H.Sun,species,Campanulaceae,Pseudocodon,辐冠参
wcvp:522271,Salvia lagochila,Salvia lagochila,T.Wang & L.Wang,species,Lamiaceae,Salvia,兔唇鼠尾草
wcvp:522305,Smilax hirtellicaulis,Smilax hirtellicaulis,C.Y.Wu & C.Chen ex P.Li,species,Smilacaceae,Smilax,毛茎菝葜
wcvp:43249,Clethra delavayi,Clethra delavayi,Franch.,species,Clethraceae,Clethra,云南桤叶树
wcvp:43258,Clethra fabri,Clethra fabri,Hance,species,Clethraceae,Clethra,华南桤叶树
wcvp:43265,Clethra fargesii,Clethra fargesii,Franch.,species,Clethraceae,Clethra,城口桤叶树
wcvp:43289,Clethra kaipoensis,Clethra kaipoensis,H.Lév.,species,Clethraceae,Clethra,贵州桤叶树
wcvp:522504,Vanda funingensis,Vanda funingensis,L.H.Zou & Z.J.Liu,species,Orchidaceae,Vanda,富宁万代兰
wcvp:523703,Odontochilus yakushimensis,Odontochilus yakushimensis,(Yamam.) T.Yukawa,species,Orchidaceae,Odontochilus,旗唇兰
wcvp:523780,Aspidistra maguanensis,Aspidistra maguanensis,S.Z.He & D.H.Lv,species,Asparagaceae,Aspidistra,马关蜘蛛抱蛋
wcvp:523781,Aspidistra radiata,Aspidistra radiata,G.W.Hu & Q.F.Wang,species,Asparagaceae,Aspidistra,辐射蜘蛛抱蛋
wcvp:523986,Carex xueyingiana,Carex xueyingiana,H.J.Yang & Han Xu,species,Cyperaceae,Carex,雪影薹草
wcvp:523994,Cheirostylis nantouensis,Cheirostylis nantouensis,T.P.Lin,species,Orchidaceae,Cheirostylis,南投叉柱兰
wcvp:524140,Camonea pilosa,Camonea pilosa,(Houtt.) A.R.Simões & Staples,species,Convolvulaceae,Camonea,山猪菜
wcvp:524165,Chamaelirium chinense,Chamaelirium chinense,(K.Krause) N.Tanaka,species,Melanthiaceae,Chamaelirium,白丝草
wcvp:524168,Chamaelirium shiwandashanense,Chamaelirium shiwandashanense,(Y.Feng Huang & R.H.Jiang) N.Tanaka,species,Melanthiaceae,Chamaelirium,十万大山白丝草
wcvp:524174,Chamaelirium nanlingense,Chamaelirium nanlingense,"(L.Wu, Y.Tong & Q.R.Liu) N.Tanaka",species,Melanthiaceae,Chamaelirium,南岭白丝草
wcvp:43482,Clinopodium chinense,Clinopodium chinense,(Benth.) Kuntze,species,Lamiaceae,Clinopodium,风轮菜
wcvp:43537,Clinopodium gracile,Clinopodium gracile,(Benth.) Kuntze,species,Lamiaceae,Clinopodium,细风轮菜
wcvp:43590,Clinopodium megalanthum,Clinopodium megalanthum,(Diels) C.Y.Wu & S.J.Hsuan ex H.W.Li,species,Lamiaceae,Clinopodium,寸金草
wcvp:2999418,Zhengyia shennongensis,Zhengyia shennongensis,"T.Deng, D.G.Zhang & H.Sun",species,Urticaceae,Zhengyia,征镒麻
wcvp:2999429,Athyrium mackinnoniorum,Athyrium mackinnoniorum,(C.Hope) C.Chr.,species,Aspleniaceae,Athyrium,川滇蹄盖蕨
wcvp:2999573,Argentina assimilis,Argentina assimilis,(Soják) Soják,species,Rosaceae,Argentina,玉龙山蕨麻
wcvp:2999574,Argentina aristata,Argentina aristata,(Soják) Soják,species,Rosaceae,Argentina,多对小叶蕨麻
wcvp:524521,Alangium indochinense,Alangium indochinense,W.J.de Wilde & Duyfjes,species,Cornaceae,Alangium,中南八角枫
wcvp:3000066,Elatostema tricostatum,Elatostema tricostatum,W.T.Wang,species,Urticaceae,Elatostema,三肋楼梯草
wcvp:3000067,Elatostema actinodromum,Elatostema actinodromum,W.T.Wang,species,Urticaceae,Elatostema,辐脉楼梯草
wcvp:3000068,Elatostema tenuibracteatum,Elatostema tenuibracteatum,W.T.Wang,species,Urticaceae,Elatostema,薄苞楼梯草
wcvp:3000069,Elatostema wugangense,Elatostema wugangense,W.T.Wang,species,Urticaceae,Elatostema,武冈楼梯草
wcvp:2747305,Cullen corylifolium,Cullen corylifolium,(L.) Medik.,species,Fabaceae,Cullen,补骨脂
wcvp:524695,Aspidistra leucographa,Aspidistra leucographa,C.R.Lin & C.Y.Zou,species,Asparagaceae,Aspidistra,白柱蜘蛛抱蛋
wcvp:524745,Cycas chenii,Cycas chenii,X.Gong & Wei Zhou,species,Cycadaceae,Cycas,陈氏苏铁
wcvp:524937,Calamagrostis nyingchiensis,Calamagrostis nyingchiensis,(P.C.Kuo & S.L.Lu) Paszko,species,Poaceae,Calamagrostis,林芝野青茅
wcvp:524943,Crepidium moluccanum,Crepidium moluccanum,(J.J.Sm.) Ormerod,species,Orchidaceae,Crepidium,心唇沼兰
wcvp:517514,Stauntonia coriacea,Stauntonia coriacea,(Diels) Christenh.,species,Lardizabalaceae,Stauntonia,鹰爪枫
wcvp:525058,Ceropegia edulissima,Ceropegia edulissima,Bruyns,species,Apocynaceae,Ceropegia,润肺草
wcvp:525062,Ceropegia kerrii,Ceropegia kerrii,(Craib) Bruyns,species,Apocynaceae,Ceropegia,长节润肺草
wcvp:517517,Stauntonia decora,Stauntonia decora,(Dunn) C.Y.Wu,species,Lardizabalaceae,Stauntonia,翅野木瓜
wcvp:517519,Stauntonia duclouxii,Stauntonia duclouxii,Gagnep.,species,Lardizabalaceae,Stauntonia,羊瓜藤
wcvp:517524,Stauntonia grandiflora,Stauntonia grandiflora,(Réaub.) Christenh.,species,Lardizabalaceae,Stauntonia,牛姆瓜
wcvp:517534,Stauntonia latifolia,Stauntonia latifolia,(Wall.) R.Br. ex Wall.,species,Lardizabalaceae,Stauntonia,八月瓜
wcvp:517536,Stauntonia libera,Stauntonia libera,H.N.Qin,species,Lardizabalaceae,Stauntonia,离丝野木瓜
wcvp:517537,Stauntonia linearifolia,Stauntonia linearifolia,(T.Chen & H.N.Qin) Christenh.,species,Lardizabalaceae,Stauntonia,线叶五风藤
wcvp:517539,Stauntonia maculata,Stauntonia maculata,Merr.,species,Lardizabalaceae,Stauntonia,斑叶野木瓜
wcvp:525210,Dendrolirium lanigerum,Dendrolirium lanigerum,(Seidenf.) H.Jiang,species,Orchidaceae,Dendrolirium,绿花毛兰
wcvp:517540,Stauntonia medogensis,Stauntonia medogensis,(H.N.Qin) Christenh.,species,Lardizabalaceae,Stauntonia,墨脱八月瓜
wcvp:517541,Stauntonia obcordatilimba,Stauntonia obcordatilimba,C.Y.Wu & S.H.Huang,species,Lardizabalaceae,Stauntonia,倒心叶野木瓜
wcvp:517542,Stauntonia obovata,Stauntonia obovata,Hemsl.,species,Lardizabalaceae,Stauntonia,倒卵叶野木瓜
wcvp:525246,Decalobanthus boisianus,Decalobanthus boisianus,(Gagnep.) A.R.Simões & Staples,species,Convolvulaceae,Decalobanthus,金钟藤
wcvp:525247,Decalobanthus bimbim,Decalobanthus bimbim,(Gagnep.) A.R.Simões & Staples,species,Convolvulaceae,Decalobanthus,铜钟藤
wcvp:525268,Danxiaorchis yangii,Danxiaorchis yangii,Bo Y.Yang & Bo Li,species,Orchidaceae,Danxiaorchis,井冈山丹霞兰
wcvp:41481,Claoxylon indicum,Claoxylon indicum,(Reinw. ex Blume) Hassk.,species,Euphorbiaceae,Claoxylon,白桐树
wcvp:517544,Stauntonia obovatifoliola,Stauntonia obovatifoliola,Hayata,species,Lardizabalaceae,Stauntonia,石月
wcvp:517548,Stauntonia oligophylla,Stauntonia oligophylla,Merr. & Chun,species,Lardizabalaceae,Stauntonia,少叶野木瓜
wcvp:517549,Stauntonia parviflora,Stauntonia parviflora,Hemsl.,species,Lardizabalaceae,Stauntonia,小花鹰爪枫
